# Time (s),  Angular velocity (rad/s)
0.041708  0.031071
0.083417  0.032279
0.125125  0.044358
0.166833  0.062989
0.208542  0.081409
0.250250  0.094754
0.291958  0.101748
0.333666  0.104302
0.375375  0.104468
0.417083  0.103553
0.458791  0.101511
0.500500  0.098184
0.542208  0.094033
0.583916  0.090190
0.625625  0.087431
0.667333  0.085875
0.709041  0.084974
0.750749  0.084470
0.792458  0.084949
0.834166  0.087358
0.875874  0.093357
0.917583  0.103427
0.959291  0.115953
1.000999  0.127128
1.042708  0.132352
1.084416  0.128872
1.126124  0.117652
1.167832  0.101543
1.209541  0.081235
1.251249  0.055696
1.292957  0.024674
1.334666  -0.007339
1.376374  -0.033463
1.418082  -0.051713
1.459791  -0.066479
1.501499  -0.084923
1.543207  -0.108890
1.584915  -0.130088
1.626624  -0.133896
1.668332  -0.110836
1.710040  -0.066030
1.751749  -0.016312
1.793457  0.020126
1.835165  0.036708
1.876874  0.036008
1.918582  0.025398
1.960290  0.008766
2.001998  -0.011354
2.043707  -0.032758
2.085415  -0.055003
2.127123  -0.079366
2.168832  -0.108636
2.210540  -0.140386
2.252248  -0.168692
2.293957  -0.180635
2.335665  -0.166347
2.377373  -0.123459
2.419081  -0.062860
2.460790  -0.000556
2.502498  0.049542
2.544206  0.081173
2.585915  0.097060
2.627623  0.102631
2.669331  0.103046
2.711040  0.100274
2.752748  0.097787
2.794456  0.097901
2.836164  0.101101
2.877873  0.103898
2.919581  0.103429
2.961289  0.097653
3.002998  0.087824
3.044706  0.079602
3.086414  0.080399
3.128123  0.091978
3.169831  0.106615
3.211539  0.114000
3.253247  0.111073
3.294956  0.102809
3.336664  0.094673
3.378372  0.089905
3.420081  0.088564
3.461789  0.089703
3.503497  0.091733
3.545206  0.092725
3.586914  0.091753
3.628622  0.089078
3.670330  0.085330
3.712039  0.081642
3.753747  0.079704
3.795455  0.079698
3.837164  0.080244
3.878872  0.079581
3.920580  0.076852
3.962289  0.072802
4.003997  0.067701
4.045705  0.062101
4.087413  0.056766
4.129122  0.052154
4.170830  0.047610
4.212538  0.042264
4.254247  0.033692
4.295955  0.019059
4.337663  -0.001665
4.379372  -0.025383
4.421080  -0.047123
4.462788  -0.067785
4.504496  -0.092454
4.546205  -0.123872
4.587913  -0.157611
4.629621  -0.184696
4.671330  -0.198009
4.713038  -0.197278
4.754746  -0.189263
4.796455  -0.181712
4.838163  -0.180113
4.879871  -0.182956
4.921579  -0.184459
4.963288  -0.174717
5.004996  -0.150149
5.046704  -0.116736
5.088413  -0.087350
5.130121  -0.071568
5.171829  -0.068799
5.213538  -0.071331
5.255246  -0.068769
5.296954  -0.055413
5.338662  -0.032046
5.380371  -0.006957
5.422079  0.015394
5.463787  0.032907
5.505496  0.047582
5.547204  0.062124
5.588912  0.078385
5.630621  0.096417
5.672329  0.112518
5.714037  0.122910
5.755745  0.126781
5.797454  0.126372
5.839162  0.123479
5.880870  0.120897
5.922579  0.120053
5.964287  0.120736
6.005995  0.121949
6.047704  0.122864
6.089412  0.123867
6.131120  0.125900
6.172828  0.128261
6.214537  0.129637
6.256245  0.129479
6.297953  0.129346
6.339662  0.130866
6.381370  0.133847
6.423078  0.136278
6.464787  0.136496
6.506495  0.134485
6.548203  0.131332
6.589911  0.128051
6.631620  0.124132
6.673328  0.118103
6.715036  0.109105
6.756745  0.098561
6.798453  0.089163
6.840161  0.082106
6.881870  0.076259
6.923578  0.067787
6.965286  0.052818
7.006994  0.029736
7.048703  -0.000086
7.090411  -0.031353
7.132119  -0.057976
7.173828  -0.075708
7.215536  -0.086949
7.257244  -0.096079
7.298953  -0.105265
7.340661  -0.112984
7.382369  -0.117572
7.424077  -0.119311
7.465786  -0.116256
7.507494  -0.109493
7.549202  -0.103352
7.590911  -0.106156
7.632619  -0.121586
7.674327  -0.146822
7.716036  -0.173464
7.757744  -0.193449
7.799452  -0.203641
7.841160  -0.206121
7.882869  -0.207222
7.924577  -0.209838
7.966285  -0.212875
8.007994  -0.210274
8.049702  -0.195845
8.091410  -0.165041
8.133119  -0.119024
8.174827  -0.065476
8.216535  -0.015262
8.258243  0.024332
8.299952  0.051468
8.341660  0.067433
8.383368  0.075697
8.425077  0.079710
8.466785  0.082326
8.508493  0.083782
8.550202  0.084557
8.591910  0.085620
8.633618  0.088826
8.675326  0.094740
8.717035  0.102238
8.758743  0.109595
8.800451  0.115115
8.842160  0.118853
8.883868  0.120995
8.925576  0.122111
8.967285  0.122428
9.008993  0.122535
9.050701  0.123331
9.092409  0.124878
9.134118  0.125983
9.175826  0.124814
9.217534  0.120889
9.259243  0.114960
9.300951  0.108268
9.342659  0.102007
9.384368  0.096534
9.426076  0.091340
9.467784  0.082548
9.509492  0.065895
9.551201  0.039330
9.592909  0.005687
9.634617  -0.028918
9.676326  -0.057998
9.718034  -0.078063
9.759742  -0.089988
9.801451  -0.096092
9.843159  -0.098839
9.884867  -0.099221
9.926575  -0.098606
9.968284  -0.097579
10.009992  -0.096534
10.051700  -0.095892
10.093409  -0.097148
10.135117  -0.101805
10.176825  -0.110319
10.218534  -0.121702
10.260242  -0.133003
10.301950  -0.141116
10.343658  -0.145257
10.385367  -0.148085
10.427075  -0.152660
10.468783  -0.160223
10.510492  -0.169164
10.552200  -0.176065
10.593908  -0.177140
10.635617  -0.175983
10.677325  -0.180885
10.719033  -0.196315
10.760741  -0.214294
10.802450  -0.215883
10.844158  -0.187443
10.885866  -0.132586
10.927575  -0.070149
10.969283  -0.015633
11.010991  0.028996
11.052700  0.069121
11.094408  0.104455
11.136116  0.132094
11.177824  0.151416
11.219533  0.164423
11.261241  0.174086
11.302949  0.181285
11.344658  0.185944
11.386366  0.187032
11.428074  0.184784
11.469783  0.181350
11.511491  0.179409
11.553199  0.180234
11.594907  0.182372
11.636616  0.182606
11.678324  0.179108
11.720032  0.172999
11.761741  0.166741
11.803449  0.161966
11.845157  0.158882
11.886866  0.156708
11.928574  0.154396
11.970282  0.151220
12.011990  0.147077
12.053699  0.142230
12.095407  0.137249
12.137115  0.132916
12.178824  0.129571
12.220532  0.127403
12.262240  0.125178
12.303949  0.120872
12.345657  0.112627
12.387365  0.099765
12.429073  0.083107
12.470782  0.063298
12.512490  0.039393
12.554198  0.010301
12.595907  -0.022612
12.637615  -0.056954
12.679323  -0.089946
12.721032  -0.120398
12.762740  -0.147409
12.804448  -0.170166
12.846156  -0.188681
12.887865  -0.203544
12.929573  -0.215951
12.971281  -0.228237
13.012990  -0.242632
13.054698  -0.260505
13.096406  -0.283912
13.138115  -0.311588
13.179823  -0.339887
13.221531  -0.364757
13.263239  -0.385031
13.304948  -0.399473
13.346656  -0.403755
13.388364  -0.392075
13.430073  -0.363964
13.471781  -0.325897
13.513489  -0.285981
13.555198  -0.249673
13.596906  -0.215319
13.638614  -0.176438
13.680322  -0.123799
13.722031  -0.054118
13.763739  0.023841
13.805447  0.093229
13.847156  0.142117
13.888864  0.171102
13.930572  0.187982
13.972281  0.199371
14.013989  0.207694
14.055697  0.213974
14.097405  0.218485
14.139114  0.221361
14.180822  0.222895
14.222530  0.223824
14.264239  0.225876
14.305947  0.229097
14.347655  0.231814
14.389364  0.232240
14.431072  0.230463
14.472780  0.228262
14.514488  0.227484
14.556197  0.228443
14.597905  0.230204
14.639613  0.231171
14.681322  0.229704
14.723030  0.225620
14.764738  0.220222
14.806447  0.215264
14.848155  0.211211
14.889863  0.206823
14.931571  0.200199
14.973280  0.190522
15.014988  0.178538
15.056696  0.165549
15.098405  0.150859
15.140113  0.131306
15.181821  0.102135
15.223530  0.059499
15.265238  0.004244
15.306946  -0.055353
15.348654  -0.107303
15.390363  -0.144310
15.432071  -0.168249
15.473779  -0.186484
15.515488  -0.205566
15.557196  -0.230536
15.598904  -0.261979
15.640613  -0.295616
15.682321  -0.326224
15.724029  -0.351983
15.765737  -0.373144
15.807446  -0.389342
15.849154  -0.400086
15.890862  -0.407085
15.932571  -0.413393
15.974279  -0.419976
16.015987  -0.426486
16.057696  -0.431721
16.099404  -0.434986
16.141112  -0.436493
16.182820  -0.436760
16.224529  -0.436098
16.266237  -0.435088
16.307945  -0.432305
16.349654  -0.422216
16.391362  -0.393817
16.433070  -0.333326
16.474779  -0.234083
16.516487  -0.109795
16.558195  0.009707
16.599903  0.094576
16.641612  0.136246
16.683320  0.149236
16.725028  0.155095
16.766737  0.165966
16.808445  0.181414
16.850153  0.196565
16.891862  0.210307
16.933570  0.227563
16.975278  0.253063
17.016986  0.289573
17.058695  0.332874
17.100403  0.374681
17.142111  0.407226
17.183820  0.427792
17.225528  0.438475
17.267236  0.443163
17.308945  0.444985
17.350653  0.445504
17.392361  0.444792
17.434069  0.442167
17.475778  0.437964
17.517486  0.433625
17.559194  0.430263
17.600903  0.427164
17.642611  0.422432
17.684319  0.413505
17.726028  0.398040
17.767736  0.375754
17.809444  0.349129
17.851152  0.321939
17.892861  0.295360
17.934569  0.265731
17.976277  0.225109
