# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
0.000000  0.000000  0.000000  -0.001199  -0.001611  -0.009395
-0.001618  -0.005912  -0.042391  0.000246  -0.001939  -0.009345
-0.000117  -0.010548  -0.086838  -0.000033  -0.001738  -0.009529
-0.002704  -0.019143  -0.130513  -0.000953  -0.004498  -0.009491
-0.004270  -0.033529  -0.175484  -0.000232  -0.005084  -0.009886
-0.004170  -0.048475  -0.220869  0.000920  -0.004984  -0.009092
-0.001626  -0.063445  -0.262105  0.001405  -0.004977  -0.008409
0.003557  -0.076309  -0.303767  0.002711  -0.003590  -0.008729
0.011875  -0.085733  -0.345780  0.002913  -0.003480  -0.009475
0.018929  -0.096115  -0.391191  0.001617  -0.003057  -0.009998
0.021816  -0.103335  -0.436960  -0.000034  -0.001781  -0.009625
0.017942  -0.107394  -0.480785  -0.001476  -0.001102  -0.008828
0.016468  -0.110370  -0.522158  0.000353  -0.001185  -0.009175
0.017589  -0.115314  -0.565692  -0.000270  -0.002333  -0.009872
0.012849  -0.123759  -0.611094  -0.002088  -0.003162  -0.010143
0.007385  -0.133854  -0.658296  -0.000859  -0.004008  -0.010264
0.005543  -0.147087  -0.704133  -0.000167  -0.004651  -0.009151
0.005021  -0.161425  -0.744960  0.000215  -0.005908  -0.008394
0.007827  -0.178953  -0.787027  0.001527  -0.005207  -0.009140
0.013670  -0.190721  -0.830944  0.002591  -0.002932  -0.009160
0.020689  -0.196870  -0.874019  0.001744  -0.002115  -0.009405
0.022762  -0.203267  -0.918239  0.000473  -0.002659  -0.009691
0.021855  -0.209257  -0.963781  -0.001141  -0.001547  -0.010107
0.016435  -0.213621  -1.009766  -0.001564  -0.001659  -0.009545
0.013553  -0.218939  -1.053459  -0.000612  -0.002408  -0.009340
0.010731  -0.226829  -1.096468  -0.001157  -0.002779  -0.010300
0.005316  -0.234086  -1.144909  -0.002027  -0.002834  -0.010741
-0.001666  -0.247368  -1.191444  -0.002066  -0.005069  -0.009628
-0.004474  -0.260490  -1.235517  0.000209  -0.004016  -0.009544
-0.002790  -0.275986  -1.278559  0.000928  -0.005513  -0.008447
-0.001325  -0.290279  -1.319903  0.001201  -0.003491  -0.009086
0.002096  -0.298629  -1.363878  0.002241  -0.002214  -0.009783
0.007844  -0.304772  -1.409197  0.001696  -0.002108  -0.010002
0.009461  -0.311910  -1.454866  0.000382  -0.002248  -0.009411
0.004753  -0.318579  -1.497830  -0.002668  -0.001933  -0.009837
