# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-0.089554  0.264573  1.379016  -0.002660  -0.003330  -0.008517
-0.090249  0.265063  1.378896  -0.002459  -0.002708  -0.008899
-0.091491  0.264405  1.371412  -0.001865  -0.002339  -0.009303
-0.092713  0.262689  1.359130  -0.001234  -0.002523  -0.009515
-0.093662  0.259970  1.344797  -0.000753  -0.003166  -0.009462
-0.094312  0.256333  1.329950  -0.000369  -0.003903  -0.009232
-0.094627  0.252086  1.315513  0.000172  -0.004463  -0.008927
-0.094297  0.247533  1.301642  0.001078  -0.004808  -0.008636
-0.093004  0.242774  1.288171  0.002182  -0.005082  -0.008446
-0.090637  0.237746  1.274799  0.003087  -0.005347  -0.008403
-0.087552  0.232394  1.261221  0.003452  -0.005572  -0.008474
-0.084335  0.226755  1.247215  0.003227  -0.005715  -0.008546
-0.081557  0.220933  1.232957  0.002655  -0.005715  -0.008533
-0.079406  0.215195  1.218734  0.002099  -0.005478  -0.008450
-0.077727  0.209883  1.204846  0.001791  -0.004889  -0.008395
-0.076218  0.205436  1.191295  0.001738  -0.004014  -0.008429
-0.074663  0.201962  1.177863  0.001830  -0.003051  -0.008552
-0.072958  0.199410  1.164339  0.002062  -0.002086  -0.008723
-0.070882  0.197792  1.150675  0.002435  -0.001251  -0.008926
-0.068323  0.196917  1.136801  0.002610  -0.000893  -0.009172
-0.065670  0.196110  1.122571  0.002199  -0.001252  -0.009463
-0.063609  0.194634  1.107961  0.001426  -0.002048  -0.009705
-0.062115  0.192207  1.092929  0.000885  -0.002745  -0.009779
-0.060743  0.189133  1.077666  0.000716  -0.002909  -0.009622
-0.059306  0.186163  1.062517  0.000658  -0.002409  -0.009281
-0.057972  0.184050  1.047864  0.000615  -0.001544  -0.008886
-0.056774  0.182972  1.033867  0.000641  -0.000892  -0.008548
-0.055669  0.182420  1.020389  0.000649  -0.000654  -0.008372
-0.054805  0.181991  1.007277  0.000612  -0.000533  -0.008377
-0.054167  0.181706  0.994252  0.000614  -0.000286  -0.008533
-0.053668  0.181698  0.981053  0.000471  -0.000031  -0.008751
-0.053561  0.181874  0.967389  0.000026  0.000092  -0.008974
-0.054080  0.182172  0.953159  -0.000215  -0.000065  -0.009132
-0.054531  0.182152  0.938490  0.000086  -0.000644  -0.009158
-0.054573  0.181384  0.923700  0.000268  -0.001430  -0.009126
-0.054824  0.179803  0.908966  -0.000137  -0.001924  -0.009155
-0.055750  0.177961  0.894257  -0.000629  -0.001968  -0.009306
-0.056884  0.176150  0.879488  -0.000682  -0.001985  -0.009473
-0.057683  0.174153  0.864691  -0.000591  -0.002356  -0.009531
-0.058359  0.171555  0.849949  -0.000630  -0.003077  -0.009423
-0.059019  0.168139  0.835319  -0.000592  -0.003926  -0.009171
-0.059416  0.163944  0.820998  -0.000352  -0.004625  -0.008874
-0.059376  0.159314  0.806996  -0.000023  -0.004926  -0.008623
-0.058885  0.154669  0.793109  0.000388  -0.004869  -0.008458
-0.057814  0.150211  0.779290  0.000862  -0.004801  -0.008294
-0.056265  0.145734  0.765795  0.001282  -0.004998  -0.008071
-0.054344  0.140945  0.752791  0.001736  -0.005313  -0.007839
-0.051958  0.135820  0.740060  0.002274  -0.005427  -0.007726
-0.049077  0.130642  0.727225  0.002713  -0.005103  -0.007831
-0.045985  0.125951  0.714167  0.002846  -0.004334  -0.008138
-0.043051  0.122178  0.700870  0.002793  -0.003429  -0.008559
-0.040284  0.119219  0.687168  0.002559  -0.002859  -0.008950
-0.037977  0.116515  0.672977  0.002009  -0.002758  -0.009253
-0.036419  0.113713  0.658328  0.001462  -0.002810  -0.009449
-0.035292  0.110875  0.643415  0.001353  -0.002666  -0.009541
-0.034000  0.108326  0.628349  0.001564  -0.002294  -0.009552
-0.032445  0.106191  0.613263  0.001686  -0.001807  -0.009502
-0.030837  0.104604  0.598281  0.001691  -0.001250  -0.009424
-0.029165  0.103617  0.583532  0.001739  -0.000796  -0.009335
-0.027338  0.103028  0.569139  0.001687  -0.000646  -0.009282
-0.025665  0.102454  0.554975  0.001350  -0.000743  -0.009261
-0.024479  0.101726  0.540737  0.000907  -0.000924  -0.009217
-0.023755  0.100734  0.526273  0.000429  -0.001137  -0.009039
-0.023715  0.099408  0.511717  -0.000199  -0.001282  -0.008721
-0.024536  0.097851  0.497464  -0.000753  -0.001203  -0.008368
-0.025855  0.096406  0.483928  -0.000871  -0.000924  -0.008126
-0.026980  0.095233  0.471067  -0.000431  -0.000769  -0.008069
-0.027302  0.094099  0.458470  0.000314  -0.000855  -0.008185
-0.026788  0.092840  0.445594  0.000839  -0.000975  -0.008453
-0.025998  0.091523  0.432107  0.000705  -0.001050  -0.008835
-0.025765  0.090077  0.417862  -0.000066  -0.001363  -0.009238
-0.026510  0.088080  0.402981  -0.000918  -0.002032  -0.009543
-0.027897  0.085372  0.387885  -0.001249  -0.002869  -0.009693
-0.029158  0.081970  0.373106  -0.000881  -0.003676  -0.009717
-0.029722  0.078024  0.358695  -0.000210  -0.004319  -0.009716
-0.029743  0.073587  0.344169  0.000179  -0.004685  -0.009774
-0.029763  0.068901  0.329034  0.000068  -0.004653  -0.009901
-0.030198  0.064329  0.313276  -0.000088  -0.004384  -0.009955
-0.030521  0.060006  0.297363  0.000292  -0.004116  -0.009775
-0.030033  0.055928  0.281918  0.001060  -0.004063  -0.009315
-0.028646  0.051841  0.267454  0.001606  -0.004367  -0.008673
-0.026972  0.047373  0.254027  0.001599  -0.004938  -0.008060
-0.025580  0.042310  0.241289  0.001234  -0.005362  -0.007727
-0.024626  0.037025  0.228683  0.000908  -0.005239  -0.007813
-0.023890  0.032140  0.215781  0.001000  -0.004630  -0.008235
