# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
0.000000  0.000000  0.000000  0.006183  0.002216  0.000452
0.020814  0.002862  0.000565  0.007135  0.000477  0.000921
0.041472  0.003213  0.003487  0.005815  0.000507  0.001428
0.057389  0.003454  0.004754  0.005248  -0.000421  0.000679
0.070933  0.002582  0.003810  0.003480  -0.000710  -0.000773
0.078606  0.000902  -0.001872  0.001747  -0.000729  -0.001602
0.081390  -0.000396  -0.008329  0.000114  -0.000502  -0.002396
0.080023  -0.001657  -0.017484  -0.000898  0.000299  -0.003796
0.070443  0.000247  -0.028900  -0.003162  0.000330  -0.004057
0.059178  0.000965  -0.042360  -0.002740  0.000046  -0.003913
0.048968  0.002296  -0.053209  -0.003848  0.000406  -0.002198
0.039166  0.004712  -0.061580  -0.002873  0.000971  -0.002159
0.032782  0.009300  -0.068018  -0.000704  0.001328  -0.000846
0.035176  0.014692  -0.066805  0.002466  0.001322  0.000961
0.046111  0.014871  -0.061896  0.005093  -0.000649  0.002506
0.061895  0.012805  -0.053618  0.006232  -0.000869  0.003494
0.082902  0.010131  -0.045733  0.007076  -0.000963  0.002617
0.102473  0.006867  -0.038252  0.005251  -0.001888  0.003234
0.117289  0.002582  -0.031966  0.004247  -0.002446  0.002130
0.129882  -0.003779  -0.029107  0.003143  -0.002132  0.001404
0.136977  -0.008547  -0.029759  0.001749  -0.001102  -0.000336
0.140704  -0.011536  -0.034184  0.000380  -0.001015  -0.000532
0.140659  -0.015707  -0.039380  -0.000378  -0.002145  -0.001221
0.137420  -0.020804  -0.048641  -0.002109  -0.001225  -0.004081
0.128292  -0.021398  -0.065527  -0.004412  0.000559  -0.005333
0.114635  -0.019174  -0.081840  -0.003602  0.000471  -0.004777
0.105694  -0.015643  -0.096806  -0.002146  0.000016  -0.003732
0.101972  -0.016679  -0.108158  -0.000063  -0.001013  -0.002461
0.105702  -0.014998  -0.116687  0.002797  0.001121  -0.002342
0.117465  -0.011589  -0.121051  0.005384  0.000890  0.000061
0.135318  -0.010551  -0.121016  0.006550  0.000012  0.000143
0.154995  -0.009420  -0.121346  0.007223  0.000838  0.000276
0.177342  -0.006378  -0.121612  0.006258  0.001022  0.000360
0.193632  -0.005618  -0.121131  0.004507  0.000451  0.000380
0.205764  -0.007879  -0.121126  0.003502  -0.000695  -0.000628
0.214752  -0.010430  -0.127059  0.002170  -0.000064  -0.001763
0.220225  -0.010717  -0.133000  0.001437  -0.000652  -0.001000
0.222087  -0.012596  -0.140501  -0.000825  0.000117  -0.002509
0.216690  -0.010800  -0.150079  -0.002505  0.000587  -0.003318
0.207628  -0.012197  -0.161250  -0.003740  -0.001088  -0.003075
0.197190  -0.012806  -0.171603  -0.004107  0.001255  -0.002983
0.184475  -0.007873  -0.181880  -0.003951  0.000753  -0.002677
0.175449  -0.004854  -0.191840  -0.001761  0.000738  -0.001959
0.173675  0.000505  -0.196507  0.000667  0.001559  -0.000623
0.182555  0.001804  -0.196569  0.004971  -0.000236  0.001172
0.199967  0.000468  -0.191574  0.006012  0.000022  0.002886
0.216984  0.000234  -0.183509  0.006503  -0.000216  0.002821
0.236766  -0.004741  -0.176091  0.006943  -0.002100  0.002525
0.257807  -0.009466  -0.170555  0.005690  -0.001442  0.001255
0.271005  -0.014488  -0.167375  0.003513  -0.001904  0.001141
0.281382  -0.018918  -0.165126  0.003957  -0.001219  0.000247
0.291155  -0.022421  -0.167600  0.002219  -0.001142  -0.001367
0.291161  -0.024919  -0.174570  -0.001398  -0.001098  -0.002248
0.288148  -0.029035  -0.183435  -0.000774  -0.002113  -0.003257
0.283065  -0.034189  -0.193849  -0.002747  -0.001410  -0.004212
0.271626  -0.035574  -0.207866  -0.004392  0.000973  -0.004368
0.258862  -0.031141  -0.223667  -0.002983  0.002027  -0.004773
0.251853  -0.027433  -0.239075  -0.000873  0.000476  -0.003994
0.250730  -0.027150  -0.249481  0.000472  0.000411  -0.002504
0.255606  -0.023764  -0.255369  0.003435  0.001483  -0.001044
0.269422  -0.020556  -0.258211  0.006173  0.000521  -0.000477
0.289657  -0.020406  -0.259503  0.006841  -0.001001  0.000101
0.310008  -0.021918  -0.258153  0.006890  -0.000410  0.000715
0.330072  -0.023321  -0.257899  0.006165  -0.000974  0.000425
0.346758  -0.025414  -0.257744  0.005001  -0.000179  0.000124
0.359397  -0.026179  -0.260944  0.003411  -0.000875  -0.001060
0.368093  -0.028079  -0.265460  0.001488  -0.000559  -0.000329
0.372618  -0.030152  -0.270148  0.000794  -0.000954  -0.001746
0.373037  -0.029704  -0.278522  -0.001031  0.000701  -0.002909
0.368802  -0.028528  -0.288123  -0.002262  -0.001122  -0.003877
0.358179  -0.030908  -0.300224  -0.004531  -0.000502  -0.003774
0.343634  -0.030408  -0.312712  -0.004303  -0.000361  -0.003712
0.330590  -0.029322  -0.323985  -0.003979  0.000219  -0.002737
0.320776  -0.025250  -0.332738  -0.001906  0.001436  -0.001558
0.319903  -0.022953  -0.336291  0.001647  0.000343  0.000372
0.329313  -0.021069  -0.334649  0.004969  0.001193  0.001631
0.347926  -0.020752  -0.330520  0.006307  -0.000945  0.001979
0.366423  -0.024083  -0.326386  0.006916  -0.000559  0.001778
0.389242  -0.026216  -0.320419  0.007463  -0.000211  0.002192
0.409542  -0.029784  -0.315278  0.005755  -0.002176  0.001980
0.427449  -0.036903  -0.313126  0.004829  -0.001934  0.000845
0.439371  -0.041266  -0.313461  0.002360  -0.000593  0.000557
0.445159  -0.044913  -0.315738  0.002037  -0.001361  -0.001131
0.449584  -0.050428  -0.321674  0.000523  -0.000555  -0.001717
0.447170  -0.052502  -0.327301  -0.002217  -0.000401  -0.001952
0.439067  -0.055326  -0.336626  -0.002839  -0.000482  -0.003814
0.430384  -0.057207  -0.349691  -0.003603  -0.000661  -0.004878
0.418273  -0.056243  -0.367312  -0.004293  0.000771  -0.005656
0.405327  -0.051947  -0.385124  -0.003815  0.000891  -0.003662
0.398628  -0.050379  -0.394919  -0.000703  0.000465  -0.001762
0.401112  -0.050119  -0.398729  0.002694  0.000413  -0.000877
0.412239  -0.047097  -0.402435  0.005524  0.001261  -0.000720
0.431329  -0.045903  -0.403189  0.007224  -0.000762  0.000580
