# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
-1.236424  1.215367  1.260550  0.000251  0.000811  -0.000220
-1.236588  1.215717  1.260539  -0.000275  0.000532  -0.000198
-1.237700  1.215663  1.260238  -0.000605  -0.000055  -0.000166
-1.239253  1.215228  1.259804  -0.000663  -0.000546  -0.000165
-1.240760  1.214673  1.259348  -0.000663  -0.000751  -0.000278
-1.242155  1.214149  1.258813  -0.000794  -0.000826  -0.000515
-1.243475  1.213525  1.258090  -0.000893  -0.000970  -0.000726
-1.244553  1.212637  1.257205  -0.000847  -0.001164  -0.000784
-1.245389  1.211493  1.256243  -0.000724  -0.001363  -0.000766
-1.246049  1.210145  1.255202  -0.000596  -0.001587  -0.000815
-1.246581  1.208621  1.254017  -0.000486  -0.001834  -0.000952
-1.247011  1.206972  1.252639  -0.000371  -0.001973  -0.001123
-1.247328  1.205386  1.251026  -0.000295  -0.001929  -0.001259
-1.247591  1.204034  1.249214  -0.000478  -0.001710  -0.001273
-1.248279  1.203143  1.247328  -0.001034  -0.001356  -0.001181
-1.249764  1.202744  1.245362  -0.001673  -0.001028  -0.001059
-1.251901  1.202552  1.243351  -0.002046  -0.000823  -0.000818
-1.254136  1.202250  1.241523  -0.001927  -0.000738  -0.000368
-1.255681  1.201644  1.240174  -0.001407  -0.000587  0.000177
-1.256352  1.200903  1.239325  -0.000921  -0.000232  0.000485
-1.256616  1.200271  1.238664  -0.000800  0.000129  0.000360
-1.257153  1.199630  1.237823  -0.001071  0.000167  -0.000134
-1.258296  1.198681  1.236559  -0.001382  -0.000091  -0.000819
-1.259730  1.197407  1.234863  -0.001470  -0.000387  -0.001419
-1.261103  1.195959  1.233007  -0.001307  -0.000528  -0.001693
-1.262176  1.194622  1.231312  -0.000979  -0.000407  -0.001571
-1.262929  1.193620  1.229948  -0.000642  -0.000031  -0.001225
-1.263463  1.193147  1.228878  -0.000411  0.000503  -0.000773
-1.263992  1.193258  1.228139  -0.000301  0.000747  -0.000363
-1.264715  1.193312  1.227532  -0.000353  0.000350  -0.000211
-1.265877  1.192646  1.226750  -0.000554  -0.000455  -0.000462
-1.267406  1.191184  1.225492  -0.000789  -0.001092  -0.000955
-1.269147  1.189482  1.223810  -0.000958  -0.001110  -0.001327
-1.270853  1.188249  1.221984  -0.000938  -0.000571  -0.001395
-1.272184  1.187749  1.220230  -0.000712  0.000059  -0.001284
-1.272913  1.187746  1.218530  -0.000382  0.000330  -0.001242
-1.273139  1.187816  1.216602  -0.000155  0.000139  -0.001239
-1.273271  1.187669  1.214512  -0.000135  -0.000351  -0.001057
-1.273606  1.187163  1.212558  -0.000186  -0.000878  -0.000694
-1.274017  1.186400  1.211083  -0.000179  -0.001314  -0.000406
-1.274412  1.185367  1.209984  -0.000216  -0.001607  -0.000411
-1.274935  1.184178  1.208999  -0.000396  -0.001703  -0.000686
-1.275817  1.182907  1.207814  -0.000733  -0.001666  -0.000971
-1.277296  1.181555  1.206505  -0.001139  -0.001549  -0.001096
-1.279273  1.180196  1.205213  -0.001437  -0.001347  -0.001110
-1.281433  1.178946  1.203977  -0.001467  -0.000960  -0.001093
-1.283362  1.178103  1.202709  -0.001268  -0.000333  -0.001055
-1.284942  1.177730  1.201334  -0.001089  0.000301  -0.000965
-1.286383  1.177628  1.199898  -0.001064  0.000508  -0.000909
-1.287886  1.177202  1.198294  -0.001054  0.000120  -0.001008
-1.289344  1.176189  1.196450  -0.000869  -0.000528  -0.001200
-1.290471  1.174740  1.194403  -0.000558  -0.000951  -0.001300
-1.291092  1.173369  1.192469  -0.000397  -0.000904  -0.001195
-1.291483  1.172475  1.190863  -0.000477  -0.000570  -0.000916
-1.291862  1.172027  1.189684  -0.000583  -0.000305  -0.000601
-1.292252  1.171720  1.188818  -0.000571  -0.000279  -0.000457
-1.292582  1.171274  1.188016  -0.000479  -0.000411  -0.000588
-1.292882  1.170664  1.187008  -0.000391  -0.000585  -0.000929
-1.293165  1.169875  1.185616  -0.000368  -0.000802  -0.001307
-1.293543  1.168922  1.183870  -0.000493  -0.001035  -0.001563
-1.294220  1.167759  1.181783  -0.000743  -0.001169  -0.001652
-1.295271  1.166550  1.179497  -0.001001  -0.001090  -0.001540
-1.296538  1.165457  1.177223  -0.001180  -0.000865  -0.001279
-1.297771  1.164602  1.175195  -0.001290  -0.000700  -0.000950
-1.298893  1.163854  1.173545  -0.001318  -0.000811  -0.000717
-1.299884  1.162944  1.172153  -0.001197  -0.001214  -0.000708
-1.300660  1.161616  1.170755  -0.000935  -0.001688  -0.000918
-1.301111  1.159925  1.169105  -0.000722  -0.001884  -0.001259
-1.301408  1.158256  1.167094  -0.000679  -0.001670  -0.001593
-1.301697  1.156947  1.164682  -0.000690  -0.001200  -0.001814
-1.301932  1.156139  1.162017  -0.000685  -0.000735  -0.001762
-1.302134  1.155679  1.159451  -0.000754  -0.000469  -0.001341
-1.302437  1.155357  1.157410  -0.001020  -0.000368  -0.000620
-1.303105  1.155052  1.156148  -0.001385  -0.000353  0.000004
-1.304150  1.154660  1.155341  -0.001575  -0.000512  0.000178
-1.305381  1.153801  1.154579  -0.001562  -0.000925  -0.000012
-1.306713  1.152282  1.153725  -0.001474  -0.001328  -0.000311
-1.308044  1.150417  1.152742  -0.001348  -0.001436  -0.000663
-1.309252  1.148766  1.151457  -0.001180  -0.001260  -0.001117
-1.310292  1.147607  1.149771  -0.001051  -0.001029  -0.001527
-1.311323  1.146813  1.147803  -0.000960  -0.000882  -0.001685
-1.312315  1.146205  1.145844  -0.000847  -0.000799  -0.001496
-1.313296  1.145669  1.144275  -0.000785  -0.000812  -0.001061
-1.314168  1.145098  1.143279  -0.000897  -0.000883  -0.000634
-1.315119  1.144526  1.142616  -0.001252  -0.000883  -0.000474
-1.316327  1.144076  1.141769  -0.001553  -0.000733  -0.000556
-1.317722  1.143801  1.140560  -0.001604  -0.000609  -0.000620
-1.319168  1.143482  1.139286  -0.001518  -0.000719  -0.000584
-1.320650  1.142839  1.138096  -0.001431  -0.001108  -0.000669
-1.322139  1.141660  1.136778  -0.001218  -0.001631  -0.000950
-1.323302  1.139902  1.135205  -0.000714  -0.001975  -0.001255
-1.323801  1.137858  1.133440  -0.000161  -0.001872  -0.001446
-1.323817  1.136081  1.131595  -0.000073  -0.001324  -0.001474
-1.324187  1.134970  1.129750  -0.000674  -0.000692  -0.001313
-1.325456  1.134461  1.128105  -0.001494  -0.000328  -0.000902
-1.327379  1.134185  1.126933  -0.001972  -0.000333  -0.000399
-1.329352  1.133813  1.126226  -0.001879  -0.000555  -0.000109
-1.330895  1.133227  1.125636  -0.001413  -0.000920  -0.000171
-1.331969  1.132327  1.124799  -0.000958  -0.001261  -0.000432
-1.332817  1.131336  1.123593  -0.000751  -0.001349  -0.000704
-1.333796  1.130498  1.122053  -0.000831  -0.001181  -0.000872
-1.335125  1.129845  1.120371  -0.000912  -0.000925  -0.000910
-1.336584  1.129251  1.118725  -0.000691  -0.000699  -0.000873
-1.337722  1.128713  1.117211  -0.000207  -0.000426  -0.000864
-1.338351  1.128468  1.115678  0.000100  -0.000071  -0.000930
-1.338852  1.128613  1.114036  -0.000008  0.000208  -0.000828
-1.339583  1.128926  1.112530  -0.000174  0.000272  -0.000395
-1.340367  1.129082  1.111448  -0.000045  0.000120  0.000037
-1.340887  1.128760  1.110464  0.000172  -0.000283  0.000013
-1.341304  1.127592  1.109079  0.000017  -0.000908  -0.000442
-1.342073  1.125576  1.107165  -0.000509  -0.001505  -0.000955
-1.343336  1.123149  1.105040  -0.000948  -0.001794  -0.001244
-1.344727  1.120998  1.103078  -0.000937  -0.001677  -0.001327
-1.345908  1.119521  1.101208  -0.000665  -0.001358  -0.001351
-1.346858  1.118612  1.099286  -0.000385  -0.001065  -0.001327
-1.347524  1.117999  1.097291  -0.000151  -0.000854  -0.001271
-1.347890  1.117484  1.095355  0.000088  -0.000773  -0.001234
-1.347881  1.116846  1.093401  0.000371  -0.000788  -0.001216
-1.347560  1.116047  1.091462  0.000510  -0.000824  -0.001064
-1.347199  1.115179  1.089666  0.000275  -0.000928  -0.000745
-1.347306  1.114193  1.088189  -0.000384  -0.001128  -0.000479
-1.348344  1.113096  1.086798  -0.001114  -0.001350  -0.000562
-1.350157  1.111951  1.085205  -0.001444  -0.001553  -0.000911
-1.352070  1.110703  1.083448  -0.001129  -0.001645  -0.001128
-1.353296  1.109335  1.081845  -0.000547  -0.001478  -0.001016
-1.353876  1.107972  1.080555  -0.000219  -0.001061  -0.000806
-1.354209  1.106837  1.079344  -0.000252  -0.000717  -0.000826
-1.354672  1.105762  1.077850  -0.000340  -0.000825  -0.001154
-1.355049  1.104392  1.075919  -0.000136  -0.001274  -0.001664
-1.355046  1.102629  1.073588  0.000277  -0.001584  -0.002157
-1.354679  1.100905  1.071017  0.000598  -0.001462  -0.002499
-1.354299  1.099575  1.068459  0.000579  -0.001021  -0.002596
-1.354401  1.098718  1.066079  0.000181  -0.000517  -0.002334
-1.355291  1.098317  1.064206  -0.000388  -0.000214  -0.001744
-1.356773  1.098079  1.062884  -0.000708  -0.000292  -0.001108
-1.358155  1.097660  1.061986  -0.000678  -0.000715  -0.000736
-1.359057  1.096735  1.061143  -0.000618  -0.001243  -0.000749
-1.359661  1.095319  1.060092  -0.000779  -0.001629  -0.000980
-1.360347  1.093530  1.058693  -0.001086  -0.001735  -0.001236
-1.361245  1.091739  1.057071  -0.001292  -0.001521  -0.001463
-1.362184  1.090226  1.055212  -0.001269  -0.001119  -0.001724
-1.362995  1.089159  1.053070  -0.001055  -0.000628  -0.001924
-1.363600  1.088597  1.050797  -0.000784  -0.000230  -0.001935
-1.364070  1.088286  1.048519  -0.000630  -0.000138  -0.001740
-1.364625  1.087805  1.046395  -0.000677  -0.000454  -0.001365
-1.365363  1.086746  1.044548  -0.000843  -0.001038  -0.000868
-1.366249  1.085069  1.043160  -0.001053  -0.001530  -0.000334
-1.367179  1.083172  1.042271  -0.001300  -0.001627  0.000076
-1.368143  1.081534  1.041701  -0.001566  -0.001380  0.000173
-1.369205  1.080286  1.040994  -0.001776  -0.000999  -0.000119
-1.370461  1.079434  1.039836  -0.001913  -0.000594  -0.000632
-1.372005  1.078951  1.038171  -0.001949  -0.000161  -0.001041
-1.373688  1.078968  1.036387  -0.001878  0.000330  -0.001098
-1.375341  1.079520  1.034919  -0.001702  0.000623  -0.000917
-1.376770  1.080145  1.033795  -0.001469  0.000318  -0.000767
-1.378029  1.080035  1.032764  -0.001320  -0.000557  -0.000717
-1.379345  1.078767  1.031574  -0.001244  -0.001475  -0.000707
-1.380758  1.076607  1.030162  -0.001143  -0.001863  -0.000683
-1.382114  1.074356  1.028636  -0.001022  -0.001598  -0.000550
-1.383272  1.072653  1.027344  -0.000975  -0.001028  -0.000283
-1.384269  1.071655  1.026464  -0.000989  -0.000497  -0.000010
-1.385151  1.071243  1.025902  -0.001012  -0.000112  0.000120
-1.386009  1.071216  1.025380  -0.000980  0.000152  0.000220
-1.386812  1.071397  1.024881  -0.000915  0.000183  0.000393
-1.387638  1.071490  1.024404  -0.000874  -0.000174  0.000438
-1.388649  1.071085  1.023521  -0.000874  -0.000838  0.000132
-1.389948  1.069957  1.021843  -0.000879  -0.001419  -0.000298
-1.391430  1.068301  1.019556  -0.000817  -0.001646  -0.000388
-1.392757  1.066537  1.017526  -0.000741  -0.001464  -0.000022
-1.393788  1.065145  1.016318  -0.000780  -0.000996  0.000361
-1.394636  1.064340  1.015748  -0.001004  -0.000458  0.000301
-1.395613  1.064058  1.015140  -0.001340  -0.000039  -0.000215
-1.396929  1.064088  1.014009  -0.001671  0.000177  -0.000733
-1.398600  1.064217  1.012473  -0.001923  0.000185  -0.000826
-1.400518  1.064035  1.010915  -0.002019  -0.000107  -0.000601
-1.402409  1.063140  1.009552  -0.001918  -0.000539  -0.000442
-1.404085  1.061613  1.008224  -0.001720  -0.000755  -0.000624
-1.405499  1.060018  1.006600  -0.001456  -0.000626  -0.001103
-1.406562  1.058801  1.004462  -0.001000  -0.000507  -0.001714
-1.407061  1.057771  1.001763  -0.000276  -0.000753  -0.002207
-1.406808  1.056478  0.998738  0.000595  -0.001219  -0.002409
-1.405839  1.054884  0.995768  0.001266  -0.001483  -0.002313
-1.404610  1.053320  0.993032  0.001524  -0.001305  -0.002097
-1.403533  1.052164  0.990474  0.001483  -0.000864  -0.001804
-1.402677  1.051418  0.988205  0.001351  -0.000528  -0.001360
-1.401875  1.050705  0.986473  0.001147  -0.000603  -0.000880
-1.401160  1.049561  0.985275  0.000755  -0.000911  -0.000594
-1.400724  1.047999  0.984342  0.000139  -0.001057  -0.000657
-1.400838  1.046366  0.983250  -0.000510  -0.000907  -0.000971
-1.401462  1.044901  0.981747  -0.000939  -0.000661  -0.001365
-1.402430  1.043624  0.979698  -0.001073  -0.000443  -0.001620
-1.403477  1.042573  0.977332  -0.000929  -0.000301  -0.001611
-1.404334  1.041740  0.975048  -0.000634  -0.000340  -0.001470
-1.404928  1.040933  0.972925  -0.000356  -0.000619  -0.001480
-1.405325  1.039904  0.970735  -0.000184  -0.000904  -0.001771
-1.405626  1.038813  0.968233  -0.000105  -0.000769  -0.002184
-1.405869  1.038119  0.965469  -0.000129  -0.000330  -0.002504
-1.406170  1.037863  0.962583  -0.000277  -0.000137  -0.002613
-1.406667  1.037451  0.959701  -0.000539  -0.000512  -0.002515
-1.407458  1.036372  0.956953  -0.000727  -0.001032  -0.002154
-1.408246  1.034962  0.954698  -0.000569  -0.001065  -0.001529
