# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
0.000000  0.000000  0.000000  -0.029167  -0.044520  0.019345
-0.058591  -0.146585  0.028210  -0.009381  -0.053366  0.007043
-0.054950  -0.303582  0.015394  0.011167  -0.051183  -0.008088
0.004161  -0.436535  -0.037660  0.029664  -0.039063  -0.020259
0.112998  -0.523793  -0.120205  0.043116  -0.019795  -0.027420
0.248865  -0.547190  -0.215358  0.046890  0.004461  -0.028435
0.380411  -0.499130  -0.305144  0.041322  0.026888  -0.024401
0.485945  -0.395102  -0.377988  0.028776  0.042261  -0.015867
0.547551  -0.256022  -0.417898  0.012455  0.050813  -0.003423
0.553769  -0.105362  -0.420223  -0.009155  0.049751  0.009416
0.497077  0.026507  -0.386734  -0.028385  0.039088  0.021431
0.393296  0.112347  -0.321347  -0.042050  0.018887  0.029872
0.260033  0.134001  -0.239832  -0.046305  -0.004209  0.032538
0.129375  0.087948  -0.160485  -0.041256  -0.026965  0.028267
0.024858  -0.019029  -0.100747  -0.028244  -0.044362  0.019529
-0.030815  -0.165045  -0.072027  -0.009064  -0.053295  0.007152
-0.028099  -0.321866  -0.083034  0.010751  -0.050985  -0.007216
0.030138  -0.454994  -0.133646  0.028768  -0.039562  -0.019223
0.134771  -0.543766  -0.214040  0.041723  -0.020253  -0.027393
0.267987  -0.567967  -0.308362  0.047501  0.004273  -0.027999
0.403356  -0.519643  -0.397642  0.042190  0.026980  -0.023747
0.510580  -0.414738  -0.468225  0.029214  0.042304  -0.015818
0.572436  -0.276945  -0.510349  0.012179  0.050510  -0.004410
0.577414  -0.125988  -0.514740  -0.009147  0.049966  0.009069
0.522114  0.006605  -0.481965  -0.028320  0.039539  0.020890
0.417708  0.095023  -0.418145  -0.041566  0.019820  0.029790
0.286730  0.116731  -0.336535  -0.045254  -0.005275  0.032381
0.159995  0.067995  -0.256565  -0.040564  -0.027021  0.028713
0.055556  -0.037561  -0.197220  -0.028980  -0.043723  0.019044
-0.002631  -0.182661  -0.169735  -0.009230  -0.052709  0.006692
0.000423  -0.336302  -0.181059  0.011430  -0.050868  -0.006969
0.063913  -0.469276  -0.232397  0.030680  -0.038051  -0.019471
0.171985  -0.553144  -0.312063  0.042219  -0.018123  -0.026527
0.304807  -0.571606  -0.403550  0.046938  0.005184  -0.027551
0.437929  -0.524233  -0.492035  0.042113  0.026441  -0.023897
0.545941  -0.419035  -0.561486  0.028856  0.042879  -0.014549
0.604106  -0.278976  -0.599658  0.009954  0.050861  -0.003452
0.602573  -0.128776  -0.602227  -0.010569  0.049039  0.009768
0.545794  0.000223  -0.567901  -0.028328  0.038306  0.021061
0.441885  0.085189  -0.505440  -0.041986  0.019032  0.029463
0.308045  0.105477  -0.424854  -0.046414  -0.005204  0.032313
0.178659  0.055418  -0.344401  -0.039836  -0.027909  0.028673
0.079422  -0.052862  -0.285114  -0.026137  -0.044264  0.018787
