# x/R,  y/R,  z/R,  Fx (mN),  Fy (mN),  Fz (mN)
0.286209  -0.166829  0.872614  0.048978  0.012401  -0.026924
0.287232  -0.173765  0.871228  0.049762  0.012510  -0.027484
0.311391  -0.169135  0.855910  0.049837  0.016364  -0.027176
0.350477  -0.153572  0.832017  0.048973  0.022532  -0.026116
0.395302  -0.129026  0.805136  0.046838  0.029713  -0.024538
0.439923  -0.096723  0.778493  0.043353  0.037234  -0.022486
0.480448  -0.057675  0.754299  0.039180  0.044329  -0.019908
0.516758  -0.012093  0.733014  0.034722  0.050451  -0.016856
0.548775  0.039543  0.714751  0.029789  0.055393  -0.013525
0.576009  0.096259  0.699523  0.024435  0.059139  -0.010001
0.598025  0.156383  0.687639  0.018781  0.061664  -0.006300
0.614141  0.218128  0.679458  0.012622  0.063051  -0.002402
0.623788  0.280260  0.675227  0.005919  0.063556  0.001646
0.626466  0.342157  0.675022  -0.001044  0.063375  0.005842
0.622141  0.403338  0.679094  -0.007892  0.062331  0.010223
0.611075  0.463233  0.687554  -0.014517  0.060326  0.014630
0.593540  0.521159  0.700342  -0.020836  0.057370  0.018761
0.569970  0.575981  0.716968  -0.026650  0.053196  0.022388
0.541068  0.625971  0.736845  -0.032256  0.047432  0.025493
0.506542  0.669187  0.759427  -0.037992  0.040127  0.028006
0.465966  0.704516  0.784233  -0.042895  0.032241  0.029996
0.421001  0.732125  0.810767  -0.045915  0.024659  0.031623
0.374232  0.752387  0.838356  -0.047323  0.017243  0.032737
0.326928  0.764988  0.866293  -0.047933  0.009375  0.033172
0.279461  0.769415  0.894063  -0.047990  0.001029  0.033034
0.232463  0.765825  0.921326  -0.047399  -0.007292  0.032343
0.186570  0.754455  0.947550  -0.045868  -0.015570  0.030828
0.142789  0.735100  0.971973  -0.043250  -0.024082  0.028275
0.101751  0.707520  0.993748  -0.040012  -0.032251  0.024978
0.063807  0.672601  1.012428  -0.036405  -0.039030  0.021642
0.029617  0.631850  1.028072  -0.032145  -0.044156  0.018560
-0.000156  0.586358  1.040904  -0.026985  -0.047997  0.015476
-0.024785  0.536954  1.050757  -0.020968  -0.050776  0.012051
-0.043313  0.485149  1.057106  -0.014475  -0.052399  0.008044
-0.055374  0.433037  1.059305  -0.008004  -0.052949  0.003407
-0.060877  0.381968  1.056721  -0.001742  -0.052700  -0.001659
-0.059855  0.332073  1.048968  0.004260  -0.051732  -0.006756
-0.052798  0.283084  1.036253  0.010294  -0.049989  -0.011480
-0.039699  0.235678  1.019255  0.016698  -0.047475  -0.015608
-0.020383  0.191108  0.998735  0.022995  -0.044227  -0.019201
0.004526  0.150379  0.975141  0.028683  -0.040185  -0.022376
0.034812  0.114040  0.948604  0.033850  -0.035048  -0.025187
0.070335  0.083029  0.919226  0.038427  -0.028476  -0.027807
0.110169  0.058849  0.887303  0.042216  -0.020619  -0.030197
0.153278  0.042692  0.853434  0.045111  -0.012257  -0.031889
0.198941  0.034705  0.818426  0.046851  -0.004097  -0.032661
0.245924  0.034466  0.782959  0.047333  0.003682  -0.032683
0.292849  0.041484  0.747767  0.046762  0.011069  -0.032065
0.338547  0.055467  0.713551  0.045344  0.018113  -0.030798
0.382315  0.076279  0.680903  0.043196  0.024955  -0.028802
0.423684  0.103761  0.650402  0.040337  0.031540  -0.026148
0.461916  0.137645  0.622627  0.036736  0.037667  -0.022983
0.496228  0.177353  0.598117  0.032470  0.043084  -0.019318
0.526142  0.222067  0.577330  0.027733  0.047612  -0.015261
0.551175  0.270798  0.560630  0.022687  0.051149  -0.010955
0.571053  0.322505  0.548284  0.017450  0.053546  -0.006523
0.585678  0.376023  0.540283  0.011760  0.054830  -0.002173
0.594342  0.430249  0.536430  0.005171  0.055098  0.002044
0.595993  0.484066  0.536677  -0.002003  0.054379  0.006372
0.590568  0.536514  0.541268  -0.009025  0.052715  0.010997
0.578542  0.586667  0.550449  -0.015501  0.050091  0.015831
0.560551  0.633585  0.564349  -0.021380  0.046495  0.020653
0.537134  0.676434  0.582811  -0.026841  0.042004  0.025114
0.508457  0.714556  0.605359  -0.031955  0.036753  0.028801
0.474764  0.747445  0.631155  -0.036588  0.030815  0.031455
0.436709  0.774400  0.659094  -0.040522  0.024189  0.033295
0.395296  0.794643  0.688533  -0.043521  0.016943  0.034638
0.351546  0.807547  0.719017  -0.045401  0.009287  0.035610
0.306627  0.812844  0.750202  -0.046256  0.001465  0.036141
0.261375  0.810559  0.781485  -0.046259  -0.006239  0.036020
0.216430  0.800841  0.812286  -0.045451  -0.013710  0.035099
0.172381  0.783838  0.841897  -0.043749  -0.021041  0.033407
0.130241  0.759754  0.869722  -0.041143  -0.028078  0.031151
0.091103  0.729080  0.895138  -0.037795  -0.034482  0.028420
0.055761  0.692518  0.917611  -0.033856  -0.039978  0.025118
0.024490  0.650867  0.936617  -0.029363  -0.044541  0.021214
-0.002139  0.605056  0.951630  -0.024067  -0.048278  0.016928
-0.023070  0.556119  0.962361  -0.018063  -0.051173  0.012433
-0.037802  0.505090  0.968574  -0.011838  -0.053169  0.007786
-0.046353  0.452812  0.970159  -0.005732  -0.054205  0.002967
-0.048972  0.400088  0.966873  0.000199  -0.054179  -0.002033
-0.045860  0.347746  0.958615  0.006134  -0.053043  -0.007068
-0.036958  0.296966  0.945494  0.012336  -0.050714  -0.011975
-0.021914  0.249143  0.927753  0.018604  -0.047199  -0.016671
-0.000911  0.205368  0.905566  0.024468  -0.042761  -0.021056
0.025534  0.166356  0.879338  0.029673  -0.037593  -0.024838
0.056730  0.132665  0.849814  0.034130  -0.031616  -0.027876
0.091988  0.105198  0.817648  0.037881  -0.024675  -0.030348
0.130678  0.084866  0.783224  0.040780  -0.016993  -0.032431
0.171689  0.072155  0.746928  0.042663  -0.009159  -0.033968
0.213988  0.066976  0.709532  0.043689  -0.001604  -0.034619
0.256930  0.069044  0.671990  0.043994  0.005695  -0.034246
0.299984  0.078186  0.635162  0.043443  0.012933  -0.032975
0.342128  0.094446  0.599864  0.041925  0.020167  -0.031038
0.382340  0.117791  0.566723  0.039502  0.027086  -0.028542
0.419846  0.147758  0.536244  0.036285  0.033282  -0.025502
0.453990  0.183582  0.508889  0.032332  0.038612  -0.021937
0.483986  0.224190  0.485213  0.027677  0.043089  -0.017973
0.508945  0.268468  0.465664  0.022522  0.046756  -0.013772
0.528460  0.315550  0.450490  0.017194  0.049593  -0.009388
0.542599  0.364796  0.439796  0.011886  0.051571  -0.004841
0.551544  0.415613  0.433631  0.006495  0.052670  -0.000103
0.555112  0.467177  0.432198  0.000750  0.052805  0.004825
0.552838  0.518545  0.435635  -0.005420  0.051893  0.009865
0.544412  0.568587  0.443980  -0.011708  0.049887  0.014899
0.530002  0.616049  0.457100  -0.017694  0.046804  0.019763
0.510153  0.659698  0.474689  -0.023302  0.042638  0.024254
0.485077  0.698513  0.496316  -0.028657  0.037447  0.028141
0.454846  0.731787  0.521424  -0.033618  0.031373  0.031368
0.419898  0.758929  0.549519  -0.037753  0.024581  0.034066
0.381321  0.779335  0.580146  -0.040816  0.017244  0.036274
0.340227  0.792443  0.612721  -0.042908  0.009627  0.037738
0.297518  0.798107  0.646270  -0.044191  0.002038  0.038214
0.253878  0.796428  0.679817  -0.044605  -0.005395  0.037816
0.210341  0.787620  0.712601  -0.043926  -0.012757  0.036910
0.168156  0.771660  0.744276  -0.042157  -0.020093  0.035664
0.128250  0.748586  0.774491  -0.039540  -0.027173  0.033974
0.091210  0.718734  0.802836  -0.036445  -0.033638  0.031638
0.057196  0.682853  0.828600  -0.033205  -0.039190  0.028440
0.026274  0.641941  0.850841  -0.029688  -0.043809  0.024420
-0.001000  0.596832  0.868842  -0.025344  -0.047669  0.019910
-0.023506  0.548163  0.882333  -0.019906  -0.050840  0.015284
-0.040189  0.496770  0.891350  -0.013692  -0.053169  0.010626
-0.050520  0.443868  0.895760  -0.007256  -0.054465  0.005744
-0.054559  0.390597  0.895235  -0.000964  -0.054704  0.000515
-0.052563  0.337885  0.889444  0.005159  -0.053951  -0.004885
-0.044664  0.286503  0.878422  0.011082  -0.052198  -0.010248
-0.031121  0.237250  0.862183  0.016774  -0.049369  -0.015494
-0.012108  0.191122  0.840901  0.022272  -0.045372  -0.020550
0.012178  0.149286  0.814759  0.027409  -0.040305  -0.025229
0.041224  0.112786  0.784338  0.032019  -0.034420  -0.029122
0.074535  0.082392  0.750606  0.036039  -0.027864  -0.031943
0.111653  0.058685  0.714517  0.039324  -0.020621  -0.033747
0.151785  0.042315  0.676924  0.041645  -0.012805  -0.034769
0.193722  0.033705  0.638589  0.042872  -0.004734  -0.035080
0.236248  0.032993  0.600395  0.042928  0.003347  -0.034673
0.278089  0.040145  0.563057  0.041940  0.011322  -0.033582
0.318471  0.055042  0.527225  0.040194  0.018977  -0.031838
0.356830  0.077200  0.493395  0.037915  0.025891  -0.029579
